ngay,nhietdocaonhat,nhietdothapnhat,nhietdotrungbinh,doamcaonhat,doamthapnhat,doamtrungbinh,giolonnhat,giothapnhat,giotrungbinh,huonggiotheodo,bucxamattroi,mua,luongmua
52,36.59665,25.61665,30.122484,79.464676,39.014923,63.31337,15.716793,3.5455887,8.695909,145.9492,6062,1,0.5
53,33.89665,25.98665,29.149149,82.92302,47.872963,67.62998,14.658676,3.5455887,9.397613,148.21387,4766,1,1
54,35.07665,24.95665,28.846237,78.38335,36.289017,60.74435,16.516901,4.5820518,10.828177,140.40544,5021,0,0
55,35.08665,24.28665,28.850817,77.4094,36.206444,59.26802,19.05281,3.8773184,8.871699,146.13855,6080,0,0
56,35.966652,25.53665,29.36748,75.38208,36.484314,59.642025,17.87718,8.435069,11.820817,139.30222,6662,0,0
57,35.67665,24.86665,29.660402,78.355835,31.300812,57.286987,16.79314,5.8603754,10.752266,127.919525,6519,0,0
58,35.87665,24.21665,29.59832,68.83905,31.239305,54.376743,17.377226,0.71999997,7.7975,139.34323,6992,0,0
59,35.306652,24.62665,29.319147,77.41056,33.41712,58.227528,18.25026,2.968636,8.764458,145.15002,6320,0,0
60,35.26665,24.48665,29.282486,82.5987,36.662666,60.774952,19.008547,1.4399999,8.229666,134.37627,6270,0,0
61,35.25665,24.93665,28.775812,71.69262,32.737736,57.423325,19.296133,2.6208394,10.353619,149.36604,6279,0,0
62,34.41665,23.57665,28.207895,78.46792,36.777172,61.231537,17.654688,4.1046314,9.802399,148.88329,6355,0,0
63,34.10665,23.80665,28.149984,83.50582,40.514286,63.11513,18.331741,4.1046314,11.271743,151.23631,6564,0,0
64,34.22665,23.87665,28.288317,81.978546,42.100124,64.02561,15.072783,7.7043357,12.193405,156.24258,7053,0,0
65,34.85665,23.176651,28.540398,92.94687,35.505074,66.38476,11.659777,4.1046314,8.289093,171.65611,7058,0,0
66,34.61665,24.096651,28.890398,93.21542,43.55578,69.26192,14.145756,3.7064266,9.364028,163.08015,6448,0,0
67,35.27665,25.64665,29.548315,90.46932,44.650723,68.128624,14.77755,6.6087217,11.122613,153.46985,6512,1,0.4
68,35.16665,25.93665,29.828737,88.54933,46.825634,67.67169,14.934577,9.449572,11.808831,157.0051,6370,0,0
69,34.67665,25.22665,29.585402,89.21579,44.384144,67.12418,10.636766,4.452954,7.6885247,174.43903,6223,0,0
70,35.42665,25.50665,29.974566,90.34849,42.9391,67.97936,14.182355,2.5455842,6.779595,176.93114,6387,0,0
71,34.75665,26.676651,29.375822,87.44393,50.166855,73.39857,14.145756,6.763786,9.37881,160.99301,5770,1,3.1999998
72,34.22665,26.60665,29.988317,87.70049,47.836315,68.04065,13.049689,7.628263,10.033562,147.70473,5436,0,0
73,32.64665,27.04665,29.189148,79.618835,47.89222,66.60768,12.979984,2.0991426,8.562375,147.52065,2709,0,0
74,35.73665,25.33665,30.1454,86.340515,38.988117,63.99016,18.947083,2.7416782,9.203389,132.05241,6591,0,0
75,35.70665,26.49665,30.46415,84.13358,41.948704,64.32818,16.279802,1.609969,6.8456707,147.47511,6119,0,0
76,36.08665,26.85665,30.842064,83.92707,36.562332,64.180534,18.671474,1.2979984,7.13878,152.24146,6315,0,0
77,36.63665,26.426651,31.009985,74.19588,29.686497,57.637817,20.140705,1.609969,8.68317,129.88809,7138,0,0
78,35.06665,26.58665,30.423319,72.79056,38.2419,58.663406,14.458382,7.386582,11.318867,140.75543,6173,0,0
79,34.806652,26.32665,30.109568,78.173485,44.69201,62.318523,11.841756,6.989936,9.9830885,146.6081,6287,1,0.1
80,36.16665,26.27665,30.0204,84.77321,44.222332,67.26379,16.1198,5.00128,9.11262,154.81425,6210,1,0.1
81,35.53665,27.15665,30.591232,88.108574,48.747936,69.035866,12.4811535,3.0758414,6.852215,168.22603,5921,1,0.1
82,36.15665,27.096651,30.63457,85.37762,45.816257,67.95088,17.208603,5.95906,9.79607,148.38086,4816,0,0
83,37.53665,27.32665,30.895815,85.22841,42.40572,67.942406,16.641972,6.638072,10.236722,130.60129,5426,1,0.6
84,35.53665,27.74665,30.422483,80.33113,42.266266,65.61256,9.178235,1.835647,5.2988486,101.24354,5843,1,1.1
85,36.87665,26.46665,31.37915,89.24547,33.489296,59.51594,12.599998,1.484318,5.907891,99.2726,6212,1,0.3
86,37.10665,27.79665,31.644148,70.88033,31.56567,52.596386,17.114204,4.32,9.786749,125.52619,6126,0,0
87,37.32665,26.35665,30.981234,83.714935,33.926937,63.829773,18.175545,3.671294,9.1231365,157.56119,6476,0,0
88,35.39665,26.65665,30.503733,87.424164,44.627445,67.60177,11.792404,5.4119864,8.030599,170.87383,5603,1,0.2
89,36.58665,26.46665,30.668734,90.0275,42.590393,69.35093,12.594856,2.9024127,7.7493763,159.9167,6544,1,1.5
90,34.57665,27.66665,29.921648,85.66655,50.979477,72.86426,7.145796,0.8049845,4.491679,128.06985,5837,1,1.8000001
91,36.306652,26.74665,30.37915,86.91707,42.23671,67.58726,15.596767,5.00128,8.902039,141.37175,5812,1,0.6
92,36.81665,25.66665,30.649572,81.88541,27.64466,56.481205,10.787993,3.319036,6.999026,116.3531,6805,0,0
93,36.39665,26.99665,30.200815,83.56302,40.4101,68.010284,14.512064,2.2768397,7.657723,139.00328,5942,1,0.2
94,31.85665,26.38665,28.484156,94.24695,54.984028,75.87409,8.707237,2.0991426,5.2946057,92.50509,3979,1,6.1999993
95,34.78665,26.676651,30.311655,78.950554,46.133934,61.97484,10.00256,2.4149535,5.5154285,130.53284,5830,0,0
