ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
191;33.306.652;2.556.665;28.887.896;9.523.998;63.116.863;8.186.145;11.304.229;3.319.036;79.123.263;22.716.866;6382;1;2.9
192;3.403.665;2.603.665;29.253.733;95.534.546;60.055.405;8.032.086;12.261.158;54.833.565;8.794.698;2.352.196;6085;1;0.1
193;3.268.665;2.598.665;29.056.648;9.434.712;6.056.933;8.078.742;120.694;34.152.596;8.973.748;2.258.482;5909;1;0.70000005
194;3.409.665;2.620.665;290.054;9.263.865;62.170.628;8.087.253;13.684.735;51.919.937;9.144.965;22.228.693;5879;1;1.6
195;3.285.665;2.596.665;28.559.982;9.313.002;61.037.086;8.148.058;14.512.064;4.379.589;9.167.079;23.276.172;5689;1;43.999.996
196;3.160.665;2.587.665;283.804;91.889.626;7.034.847;8.326.584;12.245.294;2.16;8.055.931;23.119.064;4799;1;12.099.999
197;3.251.665;2.521.665;276.504;9.458.818;6.650.383;86.732.025;14.658.676;29.024.127;8.097.371;2.283.473;4098;1;19.6
198;3.148.665;24.846.651;26.754.156;94.898.506;7.352.717;9.013.949;15.072.783;3.319.036;7.535.532;22.762.952;3026;1;14.500.001
199;3.099.665;2.465.665;27.467.896;9.584.986;8.022.664;8.876.273;16.394.829;4.829.907;10.925.511;23.381.337;3731;1;3.6
200;3.108.665;2.568.665;27.602.064;96.156.586;7.234.116;8.861.621;1.503.835;6.12;101.194.515;21.681.789;4015;1;14.4
201;3.382.665;2.571.665;28.238.737;9.581.266;63.753.494;859.725;14.255.272;439.436;8.438.653;21.306.015;5391;1;8.500.001
202;3.373.665;2.527.665;28.932.486;9.759.397;64.932.594;8.296.414;12.324.414;1.609.969;6.876.353;25.384.515;5901;1;0.3
203;3.414.665;2.562.665;28.393.732;963.325;6.240.209;8.491.376;10.365.251;3.319.036;64.748.607;2.578.557;6185;1;8.5
204;3.395.665;2.491.665;28.054.148;9.718.874;680.809;86.654.335;12.074.766;1.8;5.902.115;21.777.238;4540;1;7.1
