ngay;nhietdocaonhat;nhietdothapnhat;nhietdotrungbinh;doamcaonhat;doamthapnhat;doamtrungbinh;giolonnhat;giothapnhat;giotrungbinh;huonggiotheodo;bucxamattroi;mua;luongmua
332;3.251.665;2.488.665;28.561.651;8.921.379;60.309.216;7.426.394;10.182.337;19.386.592;6.263.787;3.960.608;4819;0;0
333;3.293.665;25.016.651;2.883.457;87.819.016;54.591.454;7.079.459;9.422.101;25.455.842;6.629.333;36.689.713;4990;0;0
334;3.218.665;2.404.665;28.123.734;9.242.243;57.112.675;7.527.442;8.587.338;22.768.397;55.532.975;519.272;5099;0;0
335;3.263.665;2.381.665;27.913.734;9.348.301;50.548.122;710.025;6.519.877;29.024.127;46.466.103;34.882.208;5093;0;0
336;3.149.665;2.287.665;27.552.065;8.278.659;4.810.073;6.007.733;10.587.917;3.396.233;6.913.994;26.565.033;4841;0;0
337;2.940.665;2.327.665;26.307.482;70.036.415;5.044.592;58.903.973;15.175.612;0.5091169;9.726.489;19.727.112;5054;0;0
338;2.937.665;20.926.651;25.147.898;7.665.666;48.226.746;57.315.174;14.693.999;4.198.285;9.208.341;20.955.765;5428;0;0
339;2.970.665;2.128.665;25.249.567;72.084.274;4.822.602;60.811.626;10.829.959;28.799.999;8.042.805;35.738.123;5380;0;0
340;2.999.665;2.268.665;25.534.983;6.700.052;46.255.894;56.460.896;17.992.796;11.013.882;15.890.529;16.020.279;5838;0;0
341;2.898.665;2.064.665;24.271.235;63.410.934;4.635.463;55.675.007;15.459.054;41.046.314;10.983.846;13.362.198;4428;0;0
342;2.978.665;2.108.665;25.208.733;69.607.864;4.584.994;57.553.097;12.522.619;37.064.266;9.144.995;11.893.936;5786;0;0
343;3.065.665;2.040.665;25.299.154;7.553.025;45.734.226;62.082.348;10.703.569;20.991.426;70.173.697;0.7131653;5784;0;0
344;3.070.665;2.062.665;25.662.066;9.488.403;47.829.716;7.290.736;9.904.906;2.16;4.928.382;2.739.909;5422;0;0
345;3.107.665;2.122.665;25.777.481;9.773.765;46.454.266;76.009.254;11.090.103;12.979.984;4.361.126;21.206.195;4838;0;0
346;2.982.665;2.185.665;26.109.152;9.609.907;5.504.428;76.544.075;11.043.261;0.5091169;45.794.024;15.390.457;4432;0;0
347;3.132.665;2.297.665;26.797.068;92.551;48.829.407;6.907.961;75.685.663;14.399.999;5.128.356;34.732.434;5147;0;0
348;3.207.665;2.396.665;27.779.566;79.607.864;49.070.335;6.646.122;1.000.256;10.182.338;60.187.297;49.643.265;5061;0;0
349;3.299.665;2.374.665;2.790.915;8.316.792;4.854.731;6.682.404;9.931.042;22.768.397;6.113.914;5.361.563;5679;0;0
350;3.237.665;2.340.665;27.591.234;842.238;5.348.636;7.152.797;9.746.631;0.8049845;56.287.174;8.733.136;5170;0;0
351;3.247.665;2.371.665;27.864.985;90.155.945;5.064.739;7.138.914;7.928.178;20.364.676;4.832.854;6.185.839;5342;0;0
352;3.162.665;2.371.665;27.873.728;8.930.975;55.070.965;7.159.147;5.692.099;14.399.999;29.892.921;32.704.926;4406;0;0
353;3.260.665;2.447.665;28.522.484;9.161.096;60.059.864;7.442.776;79.932.966;1.8;44.778.924;35.602.753;4773;1;0.1
354;3.177.665;2.482.665;28.031.652;919.024;52.913.685;7.475.616;11.928.989;12.979.984;49.981.947;28.061.966;5401;0;0
355;3.116.665;2.386.665;27.502.481;9.207.819;55.870.903;75.175.476;12.522.619;11.384.199;58.993.034;25.405.463;5161;0;0
356;3.250.665;2.331.665;27.636.232;92.726.746;47.062.378;75.544.365;120.694;0.8049845;4.799.645;1.838.568;5251;0;0
357;32.466.652;2.258.665;27.421.228;93.831.825;52.554.565;7.483.408;127.279.215;0;5.520.712;19.843.495;5204;0;0
358;3.224.665;2.252.665;27.160.402;9.337.478;50.931.934;74.663.826;10.182.337;1.609.969;49.035.573;15.838.522;5492;0;0
359;3.173.665;2.235.665;26.697.485;9.359.703;51.716.984;75.904.724;10.931.203;0.35999998;4.555.075;19.260.416;5339;0;0
360;3.094.665;2.278.665;2.643.624;9.357.695;55.306.984;7.699.461;1.210.157;1.835.647;5.564.781;1.924.904;4843;0;0
361;3.160.665;2.185.665;2.649.748;92.602.806;48.872.814;7.513.182;9.387.651;1.609.969;61.530.056;12.843.729;5002;0;0
362;3.086.665;2.044.665;25.570.818;9.182.087;45.876.568;7.083.314;7.653.705;25.959.969;49.709.134;28.324.054;5775;0;0
363;3.133.665;2.104.665;26.018.732;97.619.965;5.047.417;7.803.918;1.030.883;1.08;4.787.045;15.606.595;5484;0;0
364;3.232.665;2.375.665;27.603.315;9.410.609;53.608.627;7.708.648;11.923.557;28.799.999;53.520.875;15.904.422;4857;0;0
365;3.294.665;2.385.665;2.813.165;92.694.435;50.295.067;7.236.738;8.473.393;12.979.984;4.913.261;9.306.648;5417;0;0
